#TITLE
Arbeitslosenquote in Deutschland 2024 nach Bundesland in Prozent
#DATA
Bundesland,Gesamt,Männer,Frauen,Deutsche,Ausländer
Schleswig-Holstein,5.7,6.1,5.3,4.3,19.0
Hamburg,8.0,8.2,7.8,5.8,17.5
Niedersachsen,5.9,6.1,5.6,4.3,17.9
Bremen,11.1,11.3,10.8,7.6,24.2
Nordrhein-Westfalen,7.5,7.8,7.3,5.3,19.9
Hessen,5.5,5.6,5.5,3.6,13.7
Rheinland-Pfalz,5.3,5.5,5.0,3.9,13.9
Baden-Württemberg,4.2,4.3,4.1,2.9,10.1
Bayern,3.7,3.8,3.6,2.7,8.8
Saarland,7.0,7.5,6.5,5.0,20.9
Berlin,9.7,10.0,9.3,7.2,17.6
Brandenburg,6.1,6.6,5.6,5.1,20.5
Mecklenburg-Vorpommern,7.9,8.7,7.1,7.0,22.3
Sachsen,6.5,6.9,6.2,5.2,23.9
Sachsen-Anhalt,7.7,8.2,7.1,6.6,22.8
Thüringen,6.2,6.6,5.9,5.1,20.0
#SOURCES
Arbeitsagentur,https://statistik.arbeitsagentur.de/Statistikdaten/Detail/202412/iiia4/gemeinde-arbeitslose-quoten/arbeitslose-quoten-dlk-0-202412-zip.zip?__blob=publicationFile&v=1
Test,https://statistik.arbeitsagentur.de/Statistikdaten/Detail/202412/iiia4/gemeinde-arbeitslose-quoten/arbeitslose-quoten-dlk-0-202412-zip.zip?__blob=publicationFile&v=1
Lange Quelle Test,https://statistik.arbeitsagentur.de/Statistikdaten/Detail/202412/iiia4/gemeinde-arbeitslose-quoten/arbeitslose-quoten-dlk-0-202412-zip.zip?__blob=publicationFile&v=1
#UNIT
%
