#TITLE
"Arbeitslosenzahlen nach Jahr und Bundesland"

#DATA
"Jahr","Baden-Württemberg","Bayern","Berlin","Brandenburg","Bremen","Hamburg","Hessen","Mecklenburg-Vorpommern","Niedersachsen","Nordrhein-Westfalen","Rheinland-Pfalz","Saarland","Sachsen","Sachsen-Anhalt","Schleswig-Holstein","Thüringen"
2024,269990,285234,203242,82795,41116,88472,194913,64944,263090,749712,120553,37241,139752,84801,92493,68768
2023,245467,257097,187930,78996,39050,80806,181344,63192,251873,710175,110716,35598,131068,82627,87758,64978
2022,223119,235851,179328,74242,37214,73800,164493,59571,230553,668502,102515,33018,118217,77978,81564,58173
2021,247774,262187,198401,78463,39292,80395,178086,62410,243021,718220,112138,36157,124743,81093,88865,62249
2020,259940,275075,192643,82491,40823,80677,184955,63850,251378,733741,117913,38364,128668,86110,92140,66678
2019,196950,211965,152565,76888,35702,64774,149813,58485,218123,635486,97717,32853,116051,80608,79678,59065
2018,195128,214018,156230,83669,34904,65589,154338,64993,227833,650768,98764,32233,126311,88107,85053,62146
2017,212837,231353,168992,92648,35687,69248,166287,70982,244260,701219,106298,34673,140348,96960,92433,68614
2016,226421,250623,181018,105555,36393,70666,172826,80389,252574,725653,111436,37103,157863,110263,94977,77215
2015,227098,256527,194813,114873,37355,73291,177944,86095,256434,744228,112882,36895,174318,118852,97849,85212
2014,230373,264603,202928,124628,37091,73663,184378,93067,267624,763213,115742,36911,187494,125559,100957,90160
2013,233956,264533,210093,132329,37198,71560,185612,98952,269208,762784,116360,37383,200628,132134,101751,95858
2012,222202,248859,215348,136125,36828,70434,178328,101893,264543,733308,111083,34282,207826,136702,100051,99316
2011,226918,254358,228838,143190,37455,72448,182583,107543,274708,728798,111074,34491,226888,139310,103714,104174
2010,272656,299448,231221,148834,38705,75486,197982,109865,298652,779582,119953,37834,253198,151305,107176,117069
2009,284168,319197,236669,164673,38156,78448,210015,117961,307226,800404,127231,38998,277758,167688,110373,136028
2008,228646,276332,233323,174588,36730,72848,203355,124033,303269,757238,116093,36943,278749,174599,107327,134884

#SOURCES
"Arbeitsagentur","https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Interaktive-Statistiken/Zeitreihen/Lange-Zeitreihen-Nav.html?Fachstatistik%3Dueberblick%26DR_Gebietsstruktur%3Dbl%26Gebiete_Region%3DBundesland%26DR_Indikator%3Dalo_bestand%26DR_Startmonat%3D0%26mapHadSelection%3Dfalse%26toggleswitch_saison%3D0"
