#TITLE
"Bruttoinlandsprodukt (BIP) je Einwohner nach Bundesländern im Jahr 2024"

#DATA
"Bundesland","BIP/Kopf"
"Schleswig-Holstein",42705
"Hamburg",84486
"Niedersachsen",46706
"Bremen",59785
"Nordrhein-Westfalen",47916
"Hessen",57288
"Rheinland-Pfalz",44046
"Baden-Württemberg",57294
"Bayern",58817
"Saarland",42877
"Berlin",54607
"Brandenburg",37774
"Mecklenburg-Vorpommern",37656
"Sachsen",39667
"Sachsen-Anhalt",36517
"Thüringen",36942

#SOURCES
"Statista","https://de.statista.com/statistik/daten/studie/73061/umfrage/bundeslaender-im-vergleich-bruttoinlandsprodukt/"

#UNIT
"€"
