#TITLE
"Anzahl der Mordopfer in Deutschland pro Jahr"

#DATA
"Jahr","Mordopfer"
2000,497
2001,464
2002,449
2003,422
2004,399
2005,413
2006,375
2007,339
2008,370
2009,365
2010,324
2011,357
2012,281
2013,282
2014,298
2015,296
2016,373
2017,405
2018,386
2019,245
2020,280
2021,257
2022,264
2023,299
2024,285

#SOURCES
"Bundeskriminalamt","https://www.bka.de/SharedDocs/Downloads/DE/Publikationen/PolizeilicheKriminalstatistik/2024/Interpretation/Opfer/ZR-O-03-T91-Straftaten-vollendet_xls.xlsx?__blob=publicationFile&v=2"
