#TITLE
Durchschnittliche Dauer Stromunterbrechung pro Verbraucher in Minuten
#DATA
Jahr,Stromunterbrechung
2006,21.53
2007,19.25
2008,16.89
2009,14.63
2010,14.90
2011,15.31
2012,15.91
2013,15.32
2014,12.28
2015,12.70
2016,12.80
2017,15.14
2018,13.91
2019,12.20
2020,10.73
2021,12.7
2022,12.2
2023,12.8
#SOURCES
Bundesnetzagentur,https://www.bundesnetzagentur.de/DE/Fachthemen/ElektrizitaetundGas/Versorgungssicherheit/Versorgungsunterbrechungen/Auswertung_Strom/Kennzahlentwicklung2006_2023.pdf
#UNIT
min
